Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Is_parent,Household,Age,Seniority,Total_Spent,Total_Accepted_Campaigns,Total_purchases
UnderGraduation,Together,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,Not Parent,2,18,597,122,0,10
Graduation,Together,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,Parent,3,46,401,55,0,5
PostGraduation,Together,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,Parent,4,60,598,1319,0,28
Graduation,Single,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,Parent,2,57,48,507,0,17
PostGraduation,Together,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,Not Parent,2,50,687,1693,0,29
Graduation,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,Parent,2,37,543,72,0,7
Graduation,Single,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,Not Parent,1,37,22,1617,2,21
Graduation,Together,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,Parent,4,36,382,606,0,23
PostGraduation,Together,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,Not Parent,2,59,587,1957,1,27
Graduation,Single,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,Not Parent,1,48,453,1093,0,21
Graduation,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,Parent,2,26,62,29,0,6
PostGraduation,Together,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,Parent,3,46,118,518,0,19
PostGraduation,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,Not Parent,1,32,360,1438,2,21
Graduation,Together,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,Parent,4,39,660,612,0,22
Graduation,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,Parent,2,62,496,884,0,24
PostGraduation,Single,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,Parent,2,63,383,606,0,19
Graduation,Together,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,Not Parent,2,66,205,1076,0,16
Graduation,Together,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,Parent,3,43,404,34,0,5
Graduation,Together,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,Parent,4,47,49,11,0,4
UnderGraduation,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,Parent,2,35,102,1274,2,32
Graduation,Together,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,Parent,3,56,275,653,0,18
Graduation,Together,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,Parent,5,44,447,1562,0,19
PostGraduation,Together,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,Not Parent,2,60,656,1253,0,21
Graduation,Together,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,Parent,3,55,469,863,0,30
PostGraduation,Together,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,0,Parent,4,39,450,661,1,24
Graduation,Together,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,Not Parent,2,62,60,65,0,8
Graduation,Single,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,Parent,2,37,557,13,0,4
PostGraduation,Together,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,Not Parent,2,42,671,1890,0,19
Graduation,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,Not Parent,1,38,625,2209,1,22
UnderGraduation,Together,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,Not Parent,2,38,298,18,0,4
Graduation,Together,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,Not Parent,2,49,543,692,1,21
Graduation,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,Parent,2,29,669,165,0,12
Graduation,Together,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,Parent,3,45,371,16,0,4
UnderGraduation,Together,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,Parent,3,41,361,79,0,9
PostGraduation,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,Not Parent,2,51,414,318,0,11
Graduation,Single,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,Not Parent,1,27,124,778,0,27
Graduation,Together,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,Parent,4,54,322,56,0,7
PostGraduation,Together,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,0,Parent,4,44,348,151,1,13
Graduation,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,Parent,2,57,32,372,2,17
Graduation,Together,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,Not Parent,2,41,48,1366,1,19
Graduation,Together,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,Parent,3,47,159,194,0,10
PostGraduation,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,Parent,2,42,98,32,0,5
PostGraduation,Together,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,Parent,3,44,36,43,0,10
Graduation,Together,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,Parent,3,31,38,45,0,6
Graduation,Single,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,Parent,2,54,584,606,1,22
Graduation,Single,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,Parent,3,42,444,63,0,7
UnderGraduation,Together,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,Not Parent,2,63,210,978,1,25
PostGraduation,Together,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,Not Parent,2,31,374,410,0,16
UnderGraduation,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,Parent,2,54,341,72,0,7
PostGraduation,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,Parent,2,55,91,55,0,7
Graduation,Together,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,Parent,3,35,435,1169,0,27
PostGraduation,Together,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,Not Parent,2,69,408,1120,0,16
Graduation,Together,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,Not Parent,2,55,52,1097,0,20
UnderGraduation,Together,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,Parent,3,35,201,29,0,5
Graduation,Together,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,Parent,4,50,278,187,0,13
Graduation,Together,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,Parent,4,45,512,910,0,26
Graduation,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,Parent,2,36,557,145,0,9
PostGraduation,Together,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,Not Parent,2,54,569,850,0,14
Graduation,Together,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,Parent,3,35,239,969,0,24
PostGraduation,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,Not Parent,1,23,596,1820,1,17
PostGraduation,Together,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,0,Parent,3,51,4,608,1,20
Graduation,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,Not Parent,1,23,543,730,2,25
PostGraduation,Together,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,Parent,3,34,564,551,0,21
Graduation,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,Parent,3,52,292,114,0,8
Graduation,Together,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,Not Parent,2,44,156,1724,2,15
UnderGraduation,Together,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,Parent,3,36,495,577,0,20
UnderGraduation,Together,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,Parent,4,47,353,81,0,7
Graduation,Together,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,Parent,3,45,227,33,0,7
PostGraduation,Together,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,Parent,3,61,374,660,0,22
PostGraduation,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,Parent,2,47,125,80,0,9
PostGraduation,Together,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,Parent,4,29,298,30,0,6
Graduation,Single,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,Parent,2,38,433,43,0,5
Graduation,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,Not Parent,1,31,474,1135,3,27
UnderGraduation,Together,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,Not Parent,2,49,496,559,0,16
Graduation,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,Not Parent,1,30,434,1923,0,16
PostGraduation,Together,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,Parent,4,61,21,90,0,8
PostGraduation,Together,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,Parent,4,58,50,661,0,23
Graduation,Together,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,Parent,3,62,272,463,0,19
PostGraduation,Single,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,Parent,3,56,476,632,0,23
Graduation,Together,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,Not Parent,2,45,139,725,0,19
PostGraduation,Together,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,Parent,4,50,319,279,0,16
PostGraduation,Together,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,Not Parent,2,47,469,1482,1,23
UnderGraduation,Single,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,Parent,2,38,690,29,0,6
PostGraduation,Together,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,Parent,5,55,357,106,0,9
PostGraduation,Single,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,1,Parent,3,41,41,49,1,6
PostGraduation,Single,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,Parent,3,49,336,38,0,7
PostGraduation,Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,Not Parent,1,22,618,2077,0,22
PostGraduation,Together,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,Parent,3,38,227,1053,0,17
Graduation,Together,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,Not Parent,2,52,436,1385,0,23
PostGraduation,Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,Parent,2,40,305,871,0,25
Graduation,Together,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,Parent,3,26,467,312,0,12
Graduation,Together,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,Parent,4,38,619,877,0,15
Graduation,Together,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,Parent,3,39,609,68,0,6
Graduation,Together,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,Parent,3,33,305,22,0,4
UnderGraduation,Together,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,Parent,5,41,676,211,0,16
PostGraduation,Together,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,Not Parent,2,48,8,127,0,8
PostGraduation,Together,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,Parent,4,61,66,459,0,16
Graduation,Together,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,0,Parent,3,45,114,460,1,19
UnderGraduation,Together,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,Parent,3,42,562,429,0,17
Graduation,Single,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,Parent,2,26,48,89,0,11
PostGraduation,Together,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,Parent,3,62,628,1021,0,26
Graduation,Together,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,Not Parent,2,65,495,1381,2,21
Graduation,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,Parent,2,56,356,306,0,15
Graduation,Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,Parent,4,36,290,18,0,4
Graduation,Together,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,Parent,3,37,255,162,0,9
Graduation,Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,Not Parent,1,59,313,1231,0,18
PostGraduation,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,Parent,4,56,363,13,0,4
PostGraduation,Together,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,Not Parent,2,69,601,1706,0,27
Graduation,Together,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,Parent,3,30,175,121,0,11
PostGraduation,Single,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,Not Parent,1,39,424,1293,0,20
PostGraduation,Together,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,Parent,3,41,120,1608,0,37
Graduation,Together,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,Parent,5,48,228,88,0,9
Graduation,Single,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,Not Parent,1,61,223,421,1,18
Graduation,Single,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,Not Parent,1,55,305,259,1,12
Graduation,Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,Not Parent,1,26,239,1117,0,15
Graduation,Together,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,Parent,4,57,124,89,0,9
Graduation,Together,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,Parent,4,49,69,36,0,6
Graduation,Together,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,Parent,3,32,351,57,0,7
Graduation,Together,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,Parent,4,44,69,148,0,8
PostGraduation,Together,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,Parent,4,55,150,93,0,8
Graduation,Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,Parent,2,47,86,119,1,7
PostGraduation,Together,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,Parent,3,39,655,1835,0,28
PostGraduation,Together,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,Not Parent,2,66,560,1318,2,25
PostGraduation,Together,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,Parent,4,44,37,45,0,7
Graduation,Together,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,Parent,5,55,5,10,0,4
UnderGraduation,Together,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,Not Parent,2,63,210,978,1,25
PostGraduation,Together,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,Parent,3,38,49,191,0,10
UnderGraduation,Together,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,Parent,3,26,50,57,0,9
PostGraduation,Together,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,Not Parent,2,68,274,1033,0,24
PostGraduation,Together,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,Parent,3,30,158,66,0,6
UnderGraduation,Together,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,Not Parent,2,53,14,43,0,6
Graduation,Together,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,Parent,3,31,571,50,0,5
PostGraduation,Single,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,Parent,2,44,113,39,0,7
Graduation,Together,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,Parent,3,48,331,608,0,18
Graduation,Together,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,Not Parent,2,38,467,1581,0,24
PostGraduation,Together,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,Parent,4,50,491,68,0,7
UnderGraduation,Together,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,Parent,3,36,658,80,1,5
PostGraduation,Together,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,Not Parent,2,25,408,1282,0,28
Graduation,Together,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,Parent,3,26,395,91,0,8
Graduation,Together,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,Parent,4,41,496,315,0,16
Graduation,Together,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,Parent,4,37,182,31,0,6
PostGraduation,Together,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,Not Parent,2,34,47,834,0,23
Graduation,Together,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,Not Parent,2,60,283,1600,1,17
Graduation,Together,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,Not Parent,2,60,528,1270,0,17
PostGraduation,Single,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,1,Parent,3,41,90,263,1,15
Graduation,Single,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,Parent,2,62,0,535,1,19
Graduation,Single,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,Not Parent,1,46,202,1295,0,18
Graduation,Single,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,Parent,2,36,258,1150,0,29
PostGraduation,Together,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,Not Parent,2,37,604,1240,3,26
PostGraduation,Single,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,Parent,3,49,347,38,0,6
PostGraduation,Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,1,Not Parent,1,30,596,35,1,4
Graduation,Together,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,Parent,3,26,203,53,1,5
PostGraduation,Single,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,Parent,3,51,412,293,0,17
Graduation,Together,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,Parent,3,48,21,65,0,6
Graduation,Single,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,Parent,2,60,657,1804,1,29
Graduation,Together,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,Parent,3,58,455,241,0,15
Graduation,Together,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,Not Parent,2,60,103,1101,0,20
PostGraduation,Together,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,Parent,4,46,632,264,0,19
PostGraduation,Together,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,Parent,4,40,524,541,0,26
Graduation,Together,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,Not Parent,2,29,421,1198,0,17
Graduation,Together,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,Parent,3,37,89,482,0,20
UnderGraduation,Single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,Parent,4,36,48,17,0,4
PostGraduation,Together,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,Not Parent,2,66,226,1615,2,25
PostGraduation,Single,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,Parent,2,60,302,285,0,12
Graduation,Together,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,Parent,3,34,592,1135,0,28
UnderGraduation,Together,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,Parent,3,26,79,114,0,7
Graduation,Together,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,Not Parent,2,45,227,1047,0,16
PostGraduation,Together,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,Parent,4,44,76,714,0,22
PostGraduation,Together,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,Parent,3,34,540,185,0,13
Graduation,Single,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,Parent,2,52,659,1245,0,32
Graduation,Together,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,Parent,3,36,460,189,0,12
Graduation,Together,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,Parent,3,38,612,576,0,16
Graduation,Single,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,Parent,2,62,567,1103,0,18
PostGraduation,Together,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,Not Parent,2,42,690,1753,0,17
PostGraduation,Together,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,Parent,3,28,133,17,0,4
Graduation,Single,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,1,Parent,3,48,466,433,0,23
UnderGraduation,Single,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,Parent,2,52,540,1588,1,14
Graduation,Together,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,Parent,3,43,410,22,0,4
Graduation,Single,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,Not Parent,1,63,74,19,0,5
PostGraduation,Together,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,Parent,3,49,463,1117,0,29
UnderGraduation,Together,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,Parent,3,39,202,69,0,8
PostGraduation,Together,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,Parent,3,32,207,23,0,5
PostGraduation,Single,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,Parent,2,56,268,605,0,19
Graduation,Single,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,Parent,2,41,185,57,0,11
Graduation,Single,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,Not Parent,1,46,244,2088,1,22
Graduation,Together,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,Parent,3,56,553,1009,0,16
Graduation,Single,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,Parent,2,43,333,26,0,5
Graduation,Together,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,1,Not Parent,2,24,213,1627,1,22
